"dB"      "codedlen"      "PLR" using |A|=1000
0    6400  0.01888
0    6500  0.02145
0    6600  0.01568
0    6700  0.01733
0    6800  0.01466
0    6900  0.01242
0    7000  0.00946
0    7100  0.0095
0    7200  0.00818
0    7300  0.00368
0    7400  0.00574
0    7500  0.00432
0    7600  0.00472
0    7700  0.00322
0    7800  0.00307
0    7900  0.00304
0    8000  0.00277
0    8100  0.0025
0    8200  0.00087
0    8300  0.00182
0    8400  0.00161
0    8500  0.00113
0    8600  0.00105
0    8700  0.00079
0    8800  0.001
0    8900  0.00089
0    9000  0.00078
0    9100  0.00017
0    9200  0.00101
0    9300  0.00112
0    9400  0.00081
0    9500  0.00072
0    9600  0.00033
0    9700  0.00022
1    1000  1
0    9800  0.00011
1    1100  1
0    9900  9e-05
1    1200  1
1    1300  1
1    1400  1
1    1500  1
1    1600  1
1    1700  1
1    1800  1
1    1900  1
1    2000  1
1    2100  1
1    2200  1
1    2300  1
1    2400  1
1    2500  0.99997
1    2600  0.99972
1    2700  0.99873
1    2800  0.99403
1    2900  0.97808
1    3000  0.94912
1    3100  0.9035
1    3200  0.84
1    3300  0.77508
1    3400  0.7093
1    3500  0.62654
1    3600  0.55443
1    3700  0.47664
1    3800  0.41681
1    3900  0.35397
1    4000  0.2935
1    4100  0.2424
1    4200  0.20511
1    4300  0.17564
1    4400  0.13659
1    4500  0.11565
1    4600  0.08611
1    4700  0.07782
1    4800  0.06184
1    4900  0.05365
1    5000  0.04276
1    5100  0.03706
1    5200  0.02885
1    5300  0.02247
1    5400  0.01813
1    5500  0.01238
1    5600  0.01209
1    5700  0.01055
1    5800  0.00853
1    5900  0.00812
1    6000  0.00717
1    6100  0.00681
1    6200  0.00445
1    6300  0.00382
1    6400  0.00207
1    6500  0.00249
1    6600  0.00184
1    6700  0.00167
1    6800  0.00163
1    6900  0.0015
1    7000  0.00078
1    7100  0.00085
1    7200  0.0006
1    7300  0.0004
1    7400  0.00053
1    7500  0.00063
1    7600  0.00033
1    7700  0.00021
1    7800  0.00034
1    7900  0.00024
1    8000  0.00034
1    8100  0.00022
1    8200  7e-05
1    8300  8e-05
1    8400  0.00011
1    8500  4e-05
1    8600  5e-05
1    8700  5e-05
1    8800  5e-05
1    8900  8e-05
1    9000  5e-05
1    9100  0
1    9200  6e-05
1    9300  4e-05
1    9400  5e-05
1    9500  7e-05
1    9600  2e-05
1    9700  0
2    1000  1
1    9800  0
1    9900  0
2    1100  1
2    1200  1
2    1300  1
2    1400  1
2    1500  1
2    1600  1
2    1700  1
2    1800  1
2    1900  1
2    2000  1
2    2100  1
2    2200  0.99993
2    2300  0.99948
2    2400  0.99594
2    2500  0.98181
2    2600  0.949
2    2700  0.8919
2    2800  0.80134
2    2900  0.68893
2    3000  0.57433
2    3100  0.47733
2    3200  0.38511
2    3300  0.31738
2    3400  0.2619
2    3500  0.20641
2    3600  0.16651
2    3700  0.13327
2    3800  0.10714
2    3900  0.08608
2    4000  0.06785
2    4100  0.05072
2    4200  0.04221
2    4300  0.03481
2    4400  0.02523
2    4500  0.02029
2    4600  0.01427
2    4700  0.01229
2    4800  0.0091
2    4900  0.00767
2    5000  0.00616
2    5100  0.00535
2    5200  0.00379
2    5300  0.00304
2    5400  0.00219
2    5500  0.00133
2    5600  0.00135
2    5700  0.00143
2    5800  0.0009
2    5900  0.00072
2    6000  0.00078
2    6100  0.00077
2    6200  0.00042
2    6300  0.00041
2    6400  0.00023
2    6500  0.00024
2    6600  0.00015
2    6700  0.00012
2    6800  0.00012
2    6900  0.0001
2    7000  3e-05
2    7100  2e-05
2    7200  8e-05
2    7300  0
2    7400  7e-05
2    7500  3e-05
2    7600  3e-05
2    7700  2e-05
2    7800  4e-05
2    7900  1e-05
2    8000  0
2    8100  2e-05
2    8200  1e-05
2    8300  2e-05
2    8400  0
2    8500  0
2    8600  1e-05
2    8700  0
2    8800  0
2    8900  0
2    9000  0
2    9100  0
2    9200  0
2    9300  0
2    9400  0
2    9500  0
2    9600  0
2    9700  0
3    1000  1
2    9800  0
2    9900  0
3    1100  1
3    1200  1
3    1300  1
3    1400  1
3    1500  1
3    1600  1
3    1700  1
3    1800  1
3    2000  0.99964
3    1900  1
3    2100  0.99615
3    2200  0.98053
3    2300  0.93842
3    2400  0.85195
3    2500  0.72939
3    2600  0.59869
3    2700  0.47461
3    2800  0.35666
3    2900  0.25946
3    3000  0.18982
3    3100  0.14192
3    3200  0.10446
3    3300  0.07999
3    3400  0.06281
3    3500  0.04582
3    3600  0.03441
3    3700  0.02667
3    3800  0.02
3    3900  0.01515
3    4000  0.01193
3    4100  0.00884
3    4200  0.00727
3    4300  0.00542
