"dB"      "codedlen"      "PLR" using |A|=1000
-3.5    7100  0.971667
-3.5    7200  0.970667
-3.5    7300  0.908667
-3.5    7400  0.951
-3.5    7500  0.934667
-3.5    7600  0.927
-3.5    7700  0.897667
-3.5    7800  0.894
-3.5    7900  0.882333
-3.5    8000  0.864667
-3.5    8100  0.850667
-3.5    8200  0.655
-3.5    8300  0.800667
-3.5    8400  0.760667
-3.5    8500  0.690667
-3.5    8600  0.681667
-3.5    8700  0.642
-3.5    8800  0.666
-3.5    8900  0.647667
-3.5    9000  0.642
-3.5    9100  0.406333
-3.5    9200  0.702667
-3.5    9300  0.688333
-3.5    9400  0.647
-3.5    9500  0.59
-3.5    9600  0.527
-3.5    9700  0.435667
-3.5    9800  0.339
-3    1000  1
-3.5    9900  0.263
-3    1100  1
-3    1200  1
-3    1300  1
-3    1400  1
-3    1500  1
-3    1600  1
-3    1700  1
-3    1800  1
-3    1900  1
-3    2000  1
-3    2100  1
-3    2200  1
-3    2300  1
-3    2400  1
-3    2500  1
-3    2600  1
-3    2700  1
-3    2800  1
-3    2900  1
-3    3000  1
-3    3100  1
-3    3200  1
-3    3300  1
-3    3400  1
-3    3500  1
-3    3600  1
-3    3700  1
-3    3800  1
-3    3900  1
-3    4000  1
-3    4100  1
-3    4200  1
-3    4300  1
-3    4400  1
-3    4500  1
-3    4600  1
-3    4700  1
-3    4800  1
-3    4900  1
-3    5000  1
-3    5100  1
-3    5200  1
-3    5300  0.999333
-3    5400  0.999333
-3    5500  0.997667
-3    5600  0.999
-3    5700  0.997333
-3    5800  0.997333
-3    5900  0.995333
-3    6000  0.993
-3    6100  0.994667
-3    6200  0.985667
-3    6300  0.973667
-3    6400  0.95
-3    6500  0.952333
-3    6600  0.929
-3    6700  0.934333
-3    6800  0.924333
-3    6900  0.896333
-3    7000  0.862333
-3    7100  0.852667
-3    7200  0.855667
-3    7300  0.697667
-3    7400  0.78
-3    7500  0.746333
-3    7600  0.715667
-3    7700  0.658667
-3    7800  0.650667
-3    7900  0.632333
-3    8000  0.624333
-3    8100  0.611333
-3    8200  0.375333
-3    8300  0.530333
-3    8400  0.486333
-3    8500  0.426
-3    8600  0.411333
-3    8700  0.378667
-3    8800  0.362667
-3    8900  0.369667
-3    9000  0.365333
-3    9100  0.179
-3    9200  0.418
-3    9300  0.414667
-3    9400  0.388667
-3    9500  0.330333
-3    9600  0.258
-3    9700  0.202
-3    9800  0.161
-3    9900  0.108
-2.5    1000  1
-2.5    1100  1
-2.5    1200  1
-2.5    1300  1
-2.5    1400  1
-2.5    1500  1
-2.5    1600  1
-2.5    1700  1
-2.5    1800  1
-2.5    1900  1
-2.5    2000  1
-2.5    2100  1
-2.5    2200  1
-2.5    2300  1
-2.5    2400  1
-2.5    2500  1
-2.5    2600  1
-2.5    2700  1
-2.5    2800  1
-2.5    2900  1
-2.5    3000  1
-2.5    3100  1
-2.5    3200  1
-2.5    3300  1
-2.5    3400  1
-2.5    3500  1
-2.5    3600  1
-2.5    3700  1
-2.5    3800  1
-2.5    3900  1
-2.5    4000  1
-2.5    4100  1
-2.5    4200  1
-2.5    4300  1
-2.5    4400  1
-2.5    4500  1
-2.5    4600  0.999667
-2.5    4700  0.999667
-2.5    4800  0.999333
-2.5    4900  0.999333
-2.5    5000  0.999333
-2.5    5100  0.998667
-2.5    5200  0.998333
-2.5    5300  0.994333
-2.5    5400  0.991333
-2.5    5500  0.978333
-2.5    5600  0.976667
-2.5    5700  0.971
-2.5    5800  0.953
-2.5    5900  0.947333
-2.5    6000  0.935667
-2.5    6100  0.938333
-2.5    6200  0.888667
-2.5    6300  0.860667
-2.5    6400  0.761667
-2.5    6500  0.806
-2.5    6600  0.741
-2.5    6700  0.750667
-2.5    6800  0.718
-2.5    6900  0.68
-2.5    7000  0.624333
-2.5    7100  0.604667
-2.5    7200  0.6
-2.5    7300  0.418667
-2.5    7400  0.510333
-2.5    7500  0.462
-2.5    7600  0.449333
-2.5    7700  0.403333
-2.5    7800  0.382667
-2.5    7900  0.359333
-2.5    8000  0.370667
-2.5    8100  0.335
-2.5    8200  0.182
-2.5    8300  0.297667
-2.5    8400  0.235667
-2.5    8500  0.203333
-2.5    8600  0.196667
-2.5    8700  0.161
-2.5    8800  0.181333
-2.5    8900  0.16
-2.5    9000  0.173667
-2.5    9100  0.0653333
-2.5    9200  0.208333
-2.5    9300  0.195333
-2.5    9400  0.182667
-2.5    9500  0.144
-2.5    9600  0.128333
-2.5    9700  0.0926667
-2.5    9800  0.0536667
-2.5    9900  0.0406667
-2    1000  1
-2    1100  1
-2    1200  1
-2    1300  1
-2    1400  1
-2    1500  1
-2    1600  1
-2    1700  1
-2    1800  1
-2    1900  1
-2    2000  1
-2    2100  1
